home,away,home_goal,away_goal,home_shots,away_shots,home_possession,away_possession
Vasco da Gama,Atlético PR,1,1,15,20,0.42,0.58
Paraná,Atlético Mineiro,0,1,7,12,0.31,0.69
Bahia,Ceará,2,1,22,7,0.61,0.39
Cruzeiro,Corinthians,1,0,16,14,0.45,0.55
Sport Recife,Vitória,0,0,15,17,0.53,0.47
Palmeiras,Fluminense,3,0,19,6,0.51,0.49
Chapecoense,Botafogo,0,1,16,11,0.5,0.5
Flamengo,Santos,1,0,21,13,0.58,0.42
São Paulo,Grêmio,1,1,12,7,0.62,0.38
Internacional,América Mineiro,2,0,15,12,0.5,0.5
Vitória,Atlético PR,1,2,13,18,0.56,0.44
Corinthians,Vasco da Gama,1,0,13,19,0.42,0.58
Atlético Mineiro,Bahia,1,0,14,9,0.51,0.49
Paraná,Palmeiras,1,1,10,26,0.36,0.64
América Mineiro,Santos,2,1,13,8,0.51,0.49
Botafogo,Internacional,1,0,13,7,0.4,0.6
Sport Recife,Flamengo,0,1,13,15,0.57,0.43
São Paulo,Cruzeiro,1,0,12,8,0.54,0.46
Grêmio,Chapecoense,2,0,18,11,0.64,0.36
Fluminense,Ceará,0,0,17,13,0.57,0.43
Internacional,Atlético Mineiro,1,2,18,15,0.56,0.44
Santos,Botafogo,1,1,19,15,0.49,0.51
Cruzeiro,Vitória,3,0,16,18,0.51,0.49
Atlético PR,Corinthians,1,0,17,13,0.51,0.49
Flamengo,Grêmio,2,0,20,14,0.45,0.55
Palmeiras,América Mineiro,4,0,26,2,0.49,0.51
Vasco da Gama,São Paulo,2,0,10,11,0.38,0.62
Chapecoense,Sport Recife,2,1,14,11,0.42,0.58
Bahia,Fluminense,2,0,17,7,0.55,0.45
Ceará,Paraná,1,0,15,4,0.49,0.51
Santos,Atlético Mineiro,3,2,23,16,0.47,0.53
Cruzeiro,Flamengo,0,2,25,9,0.53,0.47
Atlético PR,Ceará,2,2,18,11,0.59,0.41
Vitória,Grêmio,0,0,14,22,0.46,0.54
Vasco da Gama,Palmeiras,0,1,9,9,0.47,0.53
América Mineiro,Bahia,1,0,10,17,0.46,0.54
Corinthians,Chapecoense,0,0,14,15,0.64,0.36
Internacional,Fluminense,2,0,22,10,0.6,0.4
Botafogo,Paraná,2,1,16,11,0.53,0.47
São Paulo,Sport Recife,0,0,19,5,0.68,0.32
Atlético Mineiro,Botafogo,1,0,13,11,0.48,0.52
Flamengo,Atlético PR,1,2,17,12,0.52,0.48
Paraná,Internacional,1,1,19,9,0.47,0.53
Chapecoense,São Paulo,1,0,10,7,0.47,0.53
Bahia,Cruzeiro,0,0,15,19,0.44,0.56
Fluminense,América Mineiro,1,0,15,20,0.43,0.57
Ceará,Vasco da Gama,0,0,15,9,0.49,0.51
Sport Recife,Santos,2,1,10,14,0.49,0.51
Palmeiras,Vitória,3,2,26,17,0.54,0.46
Grêmio,Corinthians,1,0,12,4,0.53,0.47
