home,away,home_goal,away_goal,home_shots,away_shots,home_possession,away_possession
West Ham United,Cardiff City,3,1,15,8,0.61,0.39
Watford,Manchester City,1,2,10,13,0.29,0.71
Burnley,Liverpool,1,3,10,15,0.25,0.75
Fulham,Leicester City,1,1,18,12,0.45,0.55
Wolverhampton Wanderers,Chelsea,2,1,6,14,0.29,0.71
Everton,Newcastle United,1,1,12,9,0.76,0.24
Manchester United,Arsenal,2,2,8,7,0.44,0.56
Tottenham Hotspur,Southampton,3,1,12,15,0.52,0.48
AFC Bournemouth,Liverpool,0,4,6,9,0.4,0.6
Arsenal,Huddersfield Town,1,0,11,6,0.61,0.39
Burnley,Brighton & Hove Albion,1,0,9,14,0.37,0.63
Cardiff City,Southampton,1,0,13,8,0.36,0.64
Manchester United,Fulham,4,1,18,9,0.62,0.38
West Ham United,Crystal Palace,3,2,12,7,0.48,0.52
Chelsea,Manchester City,2,0,7,11,0.38,0.62
Leicester City,Tottenham Hotspur,0,2,9,7,0.42,0.58
Newcastle United,Wolverhampton Wanderers,1,2,10,12,0.5,0.5
Everton,Watford,2,2,11,11,0.56,0.44
Manchester City,Everton,3,1,10,8,0.67,0.33
Crystal Palace,Leicester City,1,0,7,10,0.43,0.57
Huddersfield Town,Newcastle United,0,1,13,8,0.73,0.27
Tottenham Hotspur,Burnley,1,0,10,3,0.7,0.3
Watford,Cardiff City,3,2,15,8,0.71,0.29
Wolverhampton Wanderers,AFC Bournemouth,2,0,8,9,0.37,0.63
Fulham,West Ham United,0,2,14,6,0.56,0.44
Brighton & Hove Albion,Chelsea,1,2,6,8,0.41,0.59
Southampton,Arsenal,3,2,9,9,0.33,0.67
Liverpool,Manchester United,3,1,23,6,0.64,0.36
Wolverhampton Wanderers,Liverpool,0,2,10,11,0.38,0.62
Arsenal,Burnley,3,1,8,6,0.6,0.4
AFC Bournemouth,Brighton & Hove Albion,2,0,11,10,0.57,0.43
Chelsea,Leicester City,0,1,14,6,0.72,0.28
Huddersfield Town,Southampton,1,3,11,13,0.62,0.38
Manchester City,Crystal Palace,2,3,15,6,0.78,0.22
Newcastle United,Fulham,0,0,6,3,0.53,0.47
West Ham United,Watford,0,2,13,7,0.51,0.49
Cardiff City,Manchester United,1,5,9,14,0.25,0.75
Everton,Tottenham Hotspur,2,6,9,16,0.41,0.59
Fulham,Wolverhampton Wanderers,1,1,11,13,0.29,0.71
Burnley,Everton,1,5,11,10,0.49,0.51
Crystal Palace,Cardiff City,0,0,18,9,0.62,0.38
Leicester City,Manchester City,2,1,10,9,0.33,0.67
Liverpool,Newcastle United,4,0,13,7,0.75,0.25
Manchester United,Huddersfield Town,3,1,13,10,0.64,0.36
Tottenham Hotspur,AFC Bournemouth,5,0,10,11,0.56,0.44
Brighton & Hove Albion,Arsenal,1,1,12,6,0.32,0.68
Watford,Chelsea,1,2,9,10,0.35,0.65
Southampton,West Ham United,1,2,9,12,0.45,0.55
Brighton & Hove Albion,Everton,1,0,7,11,0.44,0.56
Fulham,Huddersfield Town,1,0,13,7,0.43,0.57
Leicester City,Cardiff City,0,1,11,7,0.62,0.38
Tottenham Hotspur,Wolverhampton Wanderers,1,3,8,9,0.6,0.4
Watford,Newcastle United,1,1,8,7,0.62,0.38
Liverpool,Arsenal,5,1,14,6,0.47,0.53
Crystal Palace,Chelsea,0,1,3,9,0.34,0.66
Burnley,West Ham United,2,0,15,7,0.43,0.57
Southampton,Manchester City,1,3,6,11,0.23,0.77
Manchester United,AFC Bournemouth,4,1,9,6,0.64,0.36
Everton,Leicester City,0,1,10,8,0.59,0.41
Arsenal,Fulham,4,1,14,9,0.59,0.41
Cardiff City,Tottenham Hotspur,0,3,6,11,0.26,0.74
Chelsea,Southampton,0,0,9,6,0.71,0.29
Huddersfield Town,Burnley,1,2,6,16,0.42,0.58
West Ham United,Brighton & Hove Albion,2,2,13,9,0.54,0.46
Wolverhampton Wanderers,Crystal Palace,0,2,7,11,0.51,0.49
AFC Bournemouth,Watford,3,3,21,10,0.57,0.43
Newcastle United,Manchester United,0,2,12,14,0.34,0.66
Manchester City,Liverpool,2,1,9,8,0.49,0.51
West Ham United,Arsenal,1,0,11,11,0.41,0.59
Brighton & Hove Albion,Liverpool,0,1,6,9,0.29,0.71
Burnley,Fulham,2,1,7,9,0.41,0.59
Cardiff City,Huddersfield Town,0,0,0,7,0.38,0.62
Crystal Palace,Watford,1,2,13,12,0.55,0.45
Leicester City,Southampton,1,2,15,7,0.71,0.29
Chelsea,Newcastle United,2,1,9,9,0.65,0.35
Everton,AFC Bournemouth,2,0,12,15,0.5,0.5
Tottenham Hotspur,Manchester United,0,1,18,12,0.61,0.39
Manchester City,Wolverhampton Wanderers,3,0,17,2,0.76,0.24
Wolverhampton Wanderers,Leicester City,4,3,11,12,0.45,0.55
AFC Bournemouth,West Ham United,2,0,10,8,0.38,0.62
Liverpool,Crystal Palace,4,3,17,7,0.7,0.3
Manchester United,Brighton & Hove Albion,2,1,15,7,0.56,0.44
Newcastle United,Cardiff City,3,0,12,7,0.53,0.47
Southampton,Everton,2,1,9,4,0.39,0.61
Watford,Burnley,0,0,8,11,0.54,0.46
Arsenal,Chelsea,2,0,13,11,0.35,0.65
Huddersfield Town,Manchester City,0,3,6,11,0.32,0.68
Fulham,Tottenham Hotspur,1,2,10,12,0.26,0.74
Arsenal,Cardiff City,2,1,10,12,0.7,0.3
Fulham,Brighton & Hove Albion,4,2,18,11,0.61,0.39
Huddersfield Town,Everton,0,1,9,10,0.58,0.42
Wolverhampton Wanderers,West Ham United,3,0,14,4,0.54,0.46
Manchester United,Burnley,2,2,21,5,0.74,0.26
