,home,away,home_goal,away_goal,home_shots,away_shots,home_possession,away_possession,outcome,win_prob,draw_prob,lose_prob,RPS,BS,,,,,,,,,,,,,,,,
214,GoiÃ¡s,SÃ£o Bento,2,1,12,5,0.5,0.5,1,0.454936437,0.234817954,0.310245608,0.196673312,0.149495366,,1,,1.72,3.55,5.61,,0.581395349,0.281690141,0.178253119,,1.041338609,,0.558315368,0.270507728,0.171176904
215,Boa,Figueirense,0,2,10,4,0.57,0.43,-1,0.104998223,0.264854435,0.630147342,0.073907808,0.072654496,,3,,2.57,3.07,3.08,,0.389105058,0.325732899,0.324675325,,1.039513282,,0.374314658,0.313351358,0.312333984
216,CRB,Fortaleza,2,1,11,6,0.47,0.53,1,0.158861873,0.285354736,0.555783392,0.508204264,0.365945284,,1,,3.91,3.18,2.13,,0.255754476,0.314465409,0.469483568,,1.039703453,,0.245987907,0.302456828,0.451555265
217,Guarani,AtlÃ©tico GO,2,0,22,5,0.55,0.45,1,0.495539136,0.199511431,0.304949432,0.17373746,0.129093244,,1,,2.18,3.23,3.69,,0.458715596,0.309597523,0.27100271,,1.03931583,,0.441363042,0.297885892,0.260751066
218,Oeste,CSA,2,1,10,18,0.49,0.51,1,0.342649052,0.253897484,0.403453464,0.297442483,0.219782966,,1,,2.54,3.04,3.14,,0.393700787,0.328947368,0.318471338,,1.041119493,,0.378151394,0.315955441,0.305893166
219,Sampaio CorrÃªa,Vila Nova,0,0,26,9,0.6,0.4,0,0.296040136,0.347009372,0.356950492,0.107526708,0.213816725,,2,,2.47,2.97,3.35,,0.4048583,0.336700337,0.298507463,,1.040066099,,0.389262086,0.323729749,0.287008165
220,Figueirense,Brasil de Pelotas,1,1,17,13,0.59,0.41,0,0.586728625,0.253977614,0.159293762,0.184812491,0.308724794,,2,,1.98,3.15,4.62,,0.505050505,0.317460317,0.216450216,,1.038961039,,0.486111111,0.305555556,0.208333333
221,Coritiba,Oeste,0,2,22,7,0.59,0.41,-1,0.40527408,0.258350602,0.336375318,0.3023224,0.223796611,,3,,2.17,3.05,3.97,,0.460829493,0.327868852,0.251889169,,1.040587514,,0.442855105,0.315080517,0.242064377
222,AtlÃ©tico GO,CRB,1,0,16,15,0.63,0.37,1,0.585097152,0.202189467,0.212713382,0.108695678,0.086090646,,1,,1.76,3.36,5.79,,0.568181818,0.297619048,0.172711572,,1.038512437,,0.547111231,0.286582073,0.166306695
223,Ponte Preta,Guarani,0,0,15,9,0.58,0.42,0,0.450836923,0.269699548,0.279463529,0.140676898,0.271564182,,2,,1.93,3.42,4.35,,0.518134715,0.292397661,0.229885057,,1.040417433,,0.498006568,0.281038794,0.220954638
224,SÃ£o Bento,AvaÃ­,0,1,13,10,0.62,0.38,-1,0.277114111,0.271327528,0.451558361,0.188790231,0.150399697,,3,,2.72,2.93,3.02,,0.367647059,0.341296928,0.331125828,,1.040069815,,0.353483058,0.328148095,0.318368847
225,Vila Nova,GoiÃ¡s,3,0,11,7,0.4,0.6,1,0.52181832,0.277607784,0.200573896,0.134443803,0.115317896,,1,,2.31,2.98,3.69,,0.432900433,0.33557047,0.27100271,,1.039473613,,0.416461205,0.32282731,0.260711486
226,CSA,CriciÃºma,3,0,8,3,0.51,0.49,1,0.63000763,0.225649285,0.144343085,0.07886464,0.06954896,,1,,1.91,3.2,4.2,,0.523560209,0.3125,0.238095238,,1.074155448,,0.487415681,0.290926235,0.221658084
227,Paysandu,Sampaio CorrÃªa,0,1,15,12,0.52,0.48,-1,0.377723271,0.260906804,0.361369925,0.275261621,0.206198534,,3,,2.42,2.99,3.42,,0.41322314,0.334448161,0.292397661,,1.040068962,,0.397303598,0.321563447,0.281132955
228,Fortaleza,Londrina,2,1,23,6,0.6,0.4,1,0.610824656,0.245874865,0.143300479,0.085996238,0.077482308,,1,,1.66,3.73,5.86,,0.602409639,0.268096515,0.170648464,,1.041154617,,0.578597673,0.257499232,0.163903095
229,Juventude,Boa,0,0,10,9,0.55,0.45,0,0.602021683,0.263677508,0.134300809,0.190233407,0.307545875,,2,,1.95,2.95,4.5,,0.512820513,0.338983051,0.222222222,,1.074025786,,0.477475047,0.315619099,0.206905854
230,Brasil de Pelotas,Coritiba,0,1,10,7,0.65,0.35,-1,0.255238756,0.303441453,0.441319791,0.188635199,0.156449038,,3,,2.33,3.14,3.43,,0.429184549,0.318471338,0.29154519,,1.039201076,,0.412994712,0.30645786,0.280547428
231,CriciÃºma,Guarani,0,0,15,14,0.47,0.53,0,0.309872227,0.256593386,0.433534386,0.141986431,0.278875418,,2,,2.59,3.12,3,,0.386100386,0.320512821,0.333333333,,1.03994654,,0.371269456,0.308201247,0.320529297
232,Oeste,SÃ£o Bento,0,1,15,13,0.66,0.34,-1,0.534320423,0.249878835,0.215800742,0.450233395,0.320968741,,3,,1.89,3.19,5.06,,0.529100529,0.313479624,0.197628458,,1.040208611,,0.50864848,0.301362266,0.189989254
233,Londrina,AtlÃ©tico GO,4,1,18,10,0.52,0.48,1,0.367369869,0.224757761,0.40787237,0.283290376,0.205698934,,1,,2.4,3.14,3.29,,0.416666667,0.318471338,0.303951368,,1.039089372,,0.400992136,0.306490804,0.29251706
234,Paysandu,Juventude,3,3,21,9,0.61,0.39,0,0.379780093,0.276990208,0.343229698,0.131019773,0.261594235,,2,,2.41,2.97,3.47,,0.414937759,0.336700337,0.288184438,,1.039822534,,0.399046708,0.323805578,0.277147714
235,Ponte Preta,Vila Nova,1,1,3,5,0.52,0.48,0,0.408329897,0.401310836,0.190359266,0.101484978,0.18713289,,2,,2.3,2.95,3.76,,0.434782609,0.338983051,0.265957447,,1.039723106,,0.418171536,0.326032045,0.255796418
236,CRB,Sampaio CorrÃªa,2,1,8,14,0.39,0.61,1,0.382664536,0.262161292,0.355174172,0.253625884,0.191993437,,1,,1.85,3.34,4.93,,0.540540541,0.299401198,0.202839757,,1.042781495,,0.518364147,0.287117866,0.194517986
237,AvaÃ­,Figueirense,0,1,24,7,0.59,0.41,-1,0.474464666,0.255943763,0.269591571,0.379306596,0.274706801,,3,,2.02,3.09,4.51,,0.495049505,0.323624595,0.22172949,,1.04040359,,0.475824487,0.311056785,0.213118728
238,GoiÃ¡s,Fortaleza,3,1,13,10,0.43,0.57,1,0.244009803,0.239483804,0.516506393,0.419150016,0.298550841,,1,,2.48,3.27,3.03,,0.403225806,0.305810398,0.330033003,,1.039069207,,0.388064437,0.294311866,0.317623697
239,Boa,CSA,3,0,17,10,0.48,0.52,1,0.047264093,0.218969275,0.733766632,0.72305959,0.498022241,,1,,0,0,0,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!
240,Guarani,GoiÃ¡s,0,2,16,14,0.65,0.35,-1,0.574096039,0.196285124,0.229618838,0.461536698,0.320533749,,3,,2.2,3.1,3.35,,0.454545455,0.322580645,0.298507463,,1.075633562,,0.422583927,0.299898271,0.277517803
241,SÃ£o Bento,Paysandu,1,0,7,14,0.54,0.46,1,0.472757509,0.270256408,0.256986083,0.172013246,0.139021673,,1,,2.15,2.9,3.85,,0.465116279,0.344827586,0.25974026,,1.069684125,,0.434816474,0.322363937,0.242819589
242,Juventude,CriciÃºma,0,1,9,3,0.51,0.49,-1,0.428271646,0.271794383,0.299933971,0.336754524,0.249127078,,3,,2.05,2.9,4,,0.487804878,0.344827586,0.25,,1.082632464,,0.450572927,0.318508448,0.230918625
243,AvaÃ­,CRB,1,0,14,11,0.46,0.54,1,0.60496046,0.235986311,0.15905323,0.090677084,0.079014569,,1,,0,0,0,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!
244,Fortaleza,Figueirense,2,2,18,6,0.59,0.41,0,0.472214534,0.270357448,0.257428018,0.144627875,0.273878002,,2,,1.61,3.55,5.75,,0.621118012,0.281690141,0.173913043,,1.076721197,,0.576860578,0.26161846,0.161520962
245,Vila Nova,Oeste,1,1,17,11,0.59,0.41,0,0.315225592,0.381355964,0.303418444,0.095714963,0.191383457,,2,,2.41,3.01,3.41,,0.414937759,0.332225914,0.293255132,,1.040418805,,0.398818012,0.319319405,0.281862583
246,AtlÃ©tico GO,Ponte Preta,2,0,13,9,0.49,0.51,1,0.399920255,0.239596563,0.360483182,0.245021912,0.182483446,,1,,2.4,2.9,3.1,,0.416666667,0.344827586,0.322580645,,1.084074898,,0.384352287,0.318084652,0.297563061
247,CSA,Londrina,4,1,9,11,0.44,0.56,1,0.617359039,0.223667608,0.158973353,0.085843316,0.07390461,,1,,1.91,3.15,4.4,,0.523560209,0.317460317,0.227272727,,1.068293254,,0.490090345,0.297165892,0.212743763
248,Coritiba,Boa,2,1,8,7,0.52,0.48,1,0.752521834,0.190324204,0.057153962,0.032256009,0.03357844,,1,,1.91,3,4.75,,0.523560209,0.333333333,0.210526316,,1.067419859,,0.490491352,0.312279494,0.197229154
249,Sampaio CorrÃªa,Brasil de Pelotas,1,2,18,3,0.63,0.37,-1,0.473629174,0.286031416,0.24033941,0.400704404,0.294407593,,3,,2.15,2.9,3.85,,0.465116279,0.344827586,0.25974026,,1.069684125,,0.434816474,0.322363937,0.242819589
250,Oeste,AtlÃ©tico GO,1,2,14,14,0.58,0.42,-1,0.454631754,0.212495278,0.332872968,0.325874254,0.232300917,,3,,2.45,2.75,3.25,,0.408163265,0.363636364,0.307692308,,1.079491937,,0.378106822,0.336858805,0.285034373
251,Boa,GoiÃ¡s,1,0,12,13,0.44,0.56,1,0.241010678,0.232990534,0.525998788,0.426369758,0.302341369,,1,,2.6,2.9,2.9,,0.384615385,0.344827586,0.344827586,,1.074270557,,0.358024691,0.320987654,0.320987654
252,CRB,Guarani,1,1,13,9,0.57,0.43,0,0.259395656,0.249284221,0.491320123,0.154340785,0.290751917,,2,,2.35,2.85,3.35,,0.425531915,0.350877193,0.298507463,,1.074916571,,0.395874365,0.326422722,0.277702913
253,Paysandu,AvaÃ­,2,1,20,11,0.47,0.53,1,0.238297874,0.256895572,0.504806554,0.417509893,0.300338374,,1,,3.2,2.95,2.35,,0.3125,0.338983051,0.425531915,,1.077014966,,0.290153814,0.31474312,0.395103066
254,Juventude,SÃ£o Bento,0,2,7,4,0.59,0.41,-1,0.451477534,0.289598813,0.258923653,0.376513058,0.278964529,,3,,2,2.9,4.45,,0.5,0.344827586,0.224719101,,1.069546687,,0.467487774,0.322405361,0.210106865
255,Figueirense,CSA,1,2,10,7,0.68,0.32,-1,0.375274571,0.23861481,0.386110619,0.258845588,0.191542735,,3,,2,3,4.1,,0.5,0.333333333,0.243902439,,1.077235772,,0.464150943,0.309433962,0.226415094
256,CriciÃºma,Fortaleza,2,0,7,14,0.35,0.65,1,0.195190312,0.290829493,0.513980195,0.455947137,0.33215869,,1,,2.7,2.95,2.7,,0.37037037,0.338983051,0.37037037,,1.079723792,,0.343023256,0.313953488,0.343023256
257,Londrina,Brasil de Pelotas,1,0,16,9,0.57,0.43,1,0.449991224,0.299118859,0.250889917,0.182727702,0.151642499,,1,,2.65,2.93,3.12,,0.377358491,0.341296928,0.320512821,,1.039168239,,0.363135127,0.328432794,0.308432079
258,Ponte Preta,Sampaio CorrÃªa,0,0,8,8,0.55,0.45,0,0.560333259,0.254906288,0.184760454,0.174054893,0.301091475,,2,,1.67,3.35,5.65,,0.598802395,0.298507463,0.17699115,,1.074301008,,0.557387911,0.277862033,0.164750055
259,Vila Nova,Coritiba,2,1,14,12,0.49,0.51,1,0.32424828,0.38364222,0.2921095,0.270984173,0.229716566,,1,,1.95,3.05,4.3,,0.512820513,0.327868852,0.23255814,,1.073247505,,0.477821295,0.305492303,0.216686401
260,CSA,Vila Nova,1,2,22,9,0.52,0.48,-1,0.517492809,0.333606214,0.148900977,0.496084177,0.367820487,,3,,2.7,2.8,2.9,,0.37037037,0.357142857,0.344827586,,1.072340814,,0.345384943,0.333049766,0.321565291
261,Guarani,Juventude,1,0,16,8,0.6,0.4,1,0.528708416,0.243389001,0.227902582,0.137027672,0.11109785,,1,,1.77,3.3,4.9,,0.564971751,0.303030303,0.204081633,,1.072083687,,0.526984748,0.282655456,0.190359797
