,home,away,home_goal,away_goal,home_shots,away_shots,home_possession,away_possession,outcome,win_prob,draw_prob,lose_prob,RPS,BS
302,Fulham,Liverpool,1,2,5,14,0.37,0.63,-1.0,0.01718839242369935,0.12327272731745192,0.8595388802588486,0.01001238349652456,0.011740310764444003
303,Everton,Chelsea,2,0,13,11,0.32,0.68,1.0,0.28479841906314507,0.24077375675435772,0.4744278241824978,0.36829753086655753,0.2648556878915741
304,Fulham,Manchester City,0,2,4,16,0.34,0.66,-1.0,0.04148592680719312,0.09034984528148468,0.8681642279113218,0.009550876462634791,0.009088282489219307
305,Brighton & Hove Albion,Southampton,0,1,11,7,0.6,0.4,-1.0,0.564734867976402,0.2264892159269886,0.20877591609660864,0.472480511028542,0.3320861289961024
306,Burnley,Wolverhampton Wanderers,2,0,5,5,0.37,0.63,1.0,0.2544306666925266,0.23345127870292695,0.512118054604546,0.4090692663102477,0.2908793440495089
307,Crystal Palace,Huddersfield Town,2,0,12,13,0.48,0.52,1.0,0.45523970657934976,0.3254548374667321,0.21930545595391832,0.17242933014945444,0.15025983717646865
308,Leicester City,AFC Bournemouth,2,0,14,7,0.58,0.42,1.0,0.4363006598403955,0.22121919126989023,0.34248014888971495,0.21752479923994714,0.16132917635533303
309,Manchester United,Watford,2,1,7,15,0.51,0.49,1.0,0.47537375964154316,0.21861277425966827,0.30601346609878827,0.18443846675322187,0.13888949285865074
310,West Ham United,Everton,0,2,4,14,0.49,0.51,-1.0,0.3849032558366637,0.25577373925612107,0.35932300490721497,0.27930876419739215,0.20801257802928097
311,Cardiff City,Chelsea,1,2,8,13,0.28,0.72,-1.0,0.15092198891226707,0.19331990793360848,0.6557581031541245,0.07063996514064046,0.059550839028246566
312,Liverpool,Tottenham Hotspur,2,1,12,10,0.48,0.52,1.0,0.5933371062100447,0.23169993931919278,0.17496295447076254,0.09799337231137932,0.08322386883442541
313,Arsenal,Newcastle United,2,0,6,4,0.7,0.3,1.0,0.6730771705986391,0.18217702825754195,0.14474580114381883,0.06391494166627863,0.05367278431910216
314,Watford,Fulham,4,1,9,11,0.46,0.54,1.0,0.6120610436292385,0.20324976570736675,0.18468919066339531,0.09230336550896769,0.075305732759345
315,Wolverhampton Wanderers,Manchester United,2,1,8,12,0.49,0.51,1.0,0.39378292570908946,0.23879948853891256,0.3674175857519984,0.2512474117408291,0.18650667306936822
316,Chelsea,Brighton & Hove Albion,3,0,13,4,0.68,0.32,1.0,0.6509316530794041,0.1757675936500548,0.17330075327054117,0.0759409309530072,0.0609253696278484
317,Tottenham Hotspur,Crystal Palace,2,0,20,6,0.65,0.35,1.0,0.6985956034824019,0.2090842805622286,0.09232011595536947,0.04968380702507518,0.047694616809458364
318,Manchester City,Cardiff City,2,0,26,4,0.78,0.22,1.0,0.8616056793918282,0.09475021587480177,0.04364410473336989,0.01052889792728741,0.010011799754298781
319,Southampton,Liverpool,1,3,8,13,0.33,0.67,-1.0,3.929951644307165e-12,0.1596532116965389,0.8403467882995312,0.01274457400313736,0.016992765337098186
320,AFC Bournemouth,Burnley,1,3,8,8,0.59,0.41,-1.0,0.6720171018834522,0.1606759230261296,0.1673069750904179,0.5724923294784519,0.3902671370657343
321,Huddersfield Town,Leicester City,1,4,8,17,0.44,0.56,-1.0,0.180727286108706,0.27438695439071503,0.544885759500579,0.11989566192479148,0.10502650819646507
322,Newcastle United,Crystal Palace,0,1,15,4,0.53,0.47,-1.0,0.45479700773124093,0.39507700719809363,0.15012598507066588,0.46456307974669864,0.361737333703333
323,Everton,Arsenal,1,0,16,6,0.42,0.58,1.0,0.32281134472597867,0.20508742552609122,0.4721012297479298,0.3407320229806727,0.24117496602342162
324,Chelsea,West Ham United,2,0,14,6,0.54,0.46,1.0,0.6036779413870175,0.19665211430526583,0.19966994430771684,0.09846963040153953,0.07853710495460348
325,Leicester City,Newcastle United,0,1,12,11,0.71,0.29,-1.0,0.4721834702252352,0.30525026703591457,0.22256626273885066,0.413680222692892,0.3068460569704268
326,Tottenham Hotspur,Huddersfield Town,4,0,14,7,0.7,0.3,1.0,0.756442072628751,0.17106723427384535,0.07249069309740368,0.032287682285560296,0.0312797877377411
327,Brighton & Hove Albion,AFC Bournemouth,0,5,5,12,0.5,0.5,-1.0,0.3674451246903985,0.20775980428264285,0.42479507102695857,0.232938314986812,0.1696802554163954
328,Burnley,Cardiff City,2,0,14,10,0.46,0.54,1.0,0.36925126907735084,0.2203784776481097,0.41037025327453897,0.28312385316657107,0.20493812658121335
329,Fulham,Everton,2,0,13,8,0.4,0.6,1.0,0.17670436300870038,0.20137883419164188,0.6219168027996579,0.532298107746729,0.3683832167846144
