home,away,home_goal,away_goal
Arsenal,Watford,3,6
Everton,Fulham,7,0
Huddersfield Town,Tottenham Hotspur,6,7
Manchester City,Brighton & Hove Albion,9,2
Newcastle United,Leicester City,2,6
Wolverhampton Wanderers,Southampton,7,7
Chelsea,Liverpool,5,7
Cardiff City,Burnley,6,3
AFC Bournemouth,Crystal Palace,6,3
Brighton & Hove Albion,West Ham United,5,5
Burnley,Huddersfield Town,4,3
Crystal Palace,Wolverhampton Wanderers,5,3
Leicester City,Everton,3,9
Tottenham Hotspur,Cardiff City,8,7
Watford,AFC Bournemouth,3,8
Manchester United,Newcastle United,11,9
Fulham,Arsenal,5,8
Southampton,Chelsea,7,7
Liverpool,Manchester City,3,3
Chelsea,Manchester United,7,5
AFC Bournemouth,Southampton,3,5
Cardiff City,Fulham,6,5
Manchester City,Burnley,11,0
Newcastle United,Brighton & Hove Albion,7,3
West Ham United,Tottenham Hotspur,5,3
Wolverhampton Wanderers,Watford,2,4
Huddersfield Town,Liverpool,2,3
Everton,Crystal Palace,5,4
Arsenal,Leicester City,7,3
Brighton & Hove Albion,Wolverhampton Wanderers,2,8
Fulham,AFC Bournemouth,2,6
Liverpool,Cardiff City,8,2
Southampton,Newcastle United,5,0
Watford,Huddersfield Town,7,8
Leicester City,West Ham United,8,4
Burnley,Chelsea,2,9
Crystal Palace,Arsenal,4,3
Manchester United,Everton,11,7
Tottenham Hotspur,Manchester City,2,7
AFC Bournemouth,Manchester United,8,9
Cardiff City,Leicester City,3,6
Everton,Brighton & Hove Albion,4,4
Newcastle United,Watford,3,2
West Ham United,Burnley,11,4
Arsenal,Liverpool,5,5
Wolverhampton Wanderers,Tottenham Hotspur,8,9
Manchester City,Southampton,9,7
Chelsea,Crystal Palace,7,3
Huddersfield Town,Fulham,3,2
Cardiff City,Brighton & Hove Albion,7,4
Huddersfield Town,West Ham United,8,6
Leicester City,Burnley,6,2
Newcastle United,AFC Bournemouth,7,5
Southampton,Watford,5,7
Crystal Palace,Tottenham Hotspur,6,3
Liverpool,Fulham,8,4
Chelsea,Everton,5,2
Arsenal,Wolverhampton Wanderers,4,6
Manchester City,Manchester United,6,2
Brighton & Hove Albion,Leicester City,4,4
Everton,Cardiff City,9,2
Fulham,Southampton,6,9
Manchester United,Crystal Palace,6,3
Watford,Liverpool,2,8
West Ham United,Manchester City,2,7
Tottenham Hotspur,Chelsea,10,3
AFC Bournemouth,Arsenal,6,5
Wolverhampton Wanderers,Huddersfield Town,4,7
Burnley,Newcastle United,5,4
Cardiff City,Wolverhampton Wanderers,4,5
Crystal Palace,Burnley,10,0
Huddersfield Town,Brighton & Hove Albion,3,7
Leicester City,Watford,4,0
Manchester City,AFC Bournemouth,7,2
Newcastle United,West Ham United,5,5
Southampton,Manchester United,7,6
Chelsea,Fulham,10,5
Arsenal,Tottenham Hotspur,8,7
Liverpool,Everton,4,4
AFC Bournemouth,Huddersfield Town,3,7
Brighton & Hove Albion,Crystal Palace,4,6
West Ham United,Cardiff City,12,6
Watford,Manchester City,8,8
Burnley,Liverpool,7,13
Fulham,Leicester City,8,6
Wolverhampton Wanderers,Chelsea,3,4
Everton,Newcastle United,4,6
Manchester United,Arsenal,8,5
Tottenham Hotspur,Southampton,9,6
AFC Bournemouth,Liverpool,3,5
Arsenal,Huddersfield Town,3,0
Burnley,Brighton & Hove Albion,5,2
Cardiff City,Southampton,5,2
Manchester United,Fulham,12,5
West Ham United,Crystal Palace,7,5
Chelsea,Manchester City,6,5
Leicester City,Tottenham Hotspur,4,3
Newcastle United,Wolverhampton Wanderers,5,7
Everton,Watford,6,4
Manchester City,Everton,6,3
Crystal Palace,Leicester City,2,3
Huddersfield Town,Newcastle United,6,6
Tottenham Hotspur,Burnley,4,0
Watford,Cardiff City,9,4
Wolverhampton Wanderers,AFC Bournemouth,5,4
Fulham,West Ham United,5,4
Brighton & Hove Albion,Chelsea,3,4
Southampton,Arsenal,8,5
Liverpool,Manchester United,12,3
Wolverhampton Wanderers,Liverpool,6,7
Arsenal,Burnley,7,3
AFC Bournemouth,Brighton & Hove Albion,4,6
Chelsea,Leicester City,6,4
