,3 Step model,,,,,Soccer_ve_new_updated,,,,,,,,,,,,,,,0.924116054,,,,,0.941112899
0.477297636,0.234944182,0.287758182,,,0.435407047,0.13529821,0.429294743,,,0,,2,,0,1,0,,0,-1.448407316,0,1.448407316,,0,-2.000273974,0,2.000273974
0.542935422,0.336307114,0.120757464,,,0.570607454,0.132791941,0.296600605,,,1,,1,,1,0,0,,-0.610764894,0,0,0.610764894,,-0.561053777,0,0,0.561053777
0.548261871,0.283865812,0.167872317,,,0.537384711,0.13856077,0.32405452,,,-1,,3,,0,0,1,,0,0,-1.784551606,1.784551606,,0,0,-1.126843506,1.126843506
0.76582942,0.134602807,0.099567773,,,0.511851808,0.139307137,0.348841055,,,1,,1,,1,0,0,,-0.266795823,0,0,0.266795823,,-0.669720133,0,0,0.669720133
0.148937733,0.206981666,0.644080601,,,0.322049503,0.133085715,0.544864782,,,0,,2,,0,1,0,,0,-1.57512506,0,1.57512506,,0,-2.016761885,0,2.016761885
0.245631064,0.241209359,0.513159577,,,0.194157763,0.108814987,0.69702725,,,-1,,3,,0,0,1,,0,0,-0.667168416,0.667168416,,0,0,-0.360930773,0.360930773
0.220255255,0.2943226,0.485422145,,,0.302790675,0.127851856,0.569357469,,,1,,1,,1,0,0,,-1.512968155,0,0,1.512968155,,-1.194713554,0,0,1.194713554
0.497394028,0.228009893,0.27459608,,,0.778120327,0.090926774,0.130952899,,,1,,1,,1,0,0,,-0.698372754,0,0,0.698372754,,-0.250874105,0,0,0.250874105
0.542518825,0.255814083,0.201667092,,,0.88666443,0.05670435,0.05663122,,,1,,1,,1,0,0,,-0.611532494,0,0,0.611532494,,-0.120288688,0,0,0.120288688
0.593727234,0.159067594,0.247205172,,,0.582127336,0.126345164,0.2915275,,,1,,1,,1,0,0,,-0.521335267,0,0,0.521335267,,-0.541066065,0,0,0.541066065
0.478379044,0.216915115,0.304705842,,,0.672605056,0.11705155,0.210343395,,,1,,1,,1,0,0,,-0.737351882,0,0,0.737351882,,-0.396596963,0,0,0.396596963
0.30830047,0.257476903,0.434222627,,,0.414240194,0.134647065,0.451112742,,,-1,,3,,0,0,1,,0,0,-0.834197911,0.834197911,,0,0,-0.796037988,0.796037988
0.47506464,0.202397734,0.322537626,,,0.594386072,0.126150156,0.279463771,,,1,,1,,1,0,0,,-0.7443044,0,0,0.7443044,,-0.520226218,0,0,0.520226218
0.736158971,0.200610216,0.063230813,,,0.899965543,0.049357757,0.0506767,,,1,,1,,1,0,0,,-0.30630919,0,0,0.30630919,,-0.105398802,0,0,0.105398802
0.773950947,0.136568061,0.089480992,,,0.953338771,0.025679256,0.020981973,,,1,,1,,1,0,0,,-0.256246783,0,0,0.256246783,,-0.04778496,0,0,0.04778496
0.4217693,0.175820895,0.402409805,,,0.55527112,0.133468627,0.311260253,,,0,,2,,0,1,0,,0,-1.738289444,0,1.738289444,,0,-2.013888833,0,2.013888833
0.153626051,0.15634476,0.690029188,,,0.075278716,0.06277509,0.861946194,,,-1,,3,,0,0,1,,0,0,-0.371021381,0.371021381,,0,0,-0.14856243,0.14856243
0.556049922,0.252203384,0.191746694,,,0.431726359,0.138286888,0.429986754,,,1,,1,,1,0,0,,-0.586897201,0,0,0.586897201,,-0.83996332,0,0,0.83996332
0.31968829,0.268890169,0.411421541,,,0.106422965,0.08250064,0.811076395,,,-1,,3,,0,0,1,,0,0,-0.888136943,0.888136943,,0,0,-0.209393031,0.209393031
0.614919305,0.187007491,0.198073204,,,0.596119243,0.13205199,0.271828767,,,1,,1,,1,0,0,,-0.486264231,0,0,0.486264231,,-0.51731456,0,0,0.51731456
0.537046996,0.239428211,0.223524794,,,0.791745518,0.086143688,0.122110793,,,1,,1,,1,0,0,,-0.621669672,0,0,0.621669672,,-0.233515254,0,0,0.233515254
0.45021113,0.297869196,0.251919675,,,0.375803078,0.135128035,0.489068886,,,1,,1,,1,0,0,,-0.798038628,0,0,0.798038628,,-0.978690002,0,0,0.978690002
0.344980631,0.268491146,0.386528222,,,0.365657893,0.133095225,0.501246882,,,1,,1,,1,0,0,,-1.064267006,0,0,1.064267006,,-1.006057101,0,0,1.006057101
0.093226057,0.137848897,0.768925046,,,0.168895766,0.100009369,0.731094865,,,-1,,3,,0,0,1,,0,0,-0.262761784,0.262761784,,0,0,-0.313212053,0.313212053
0.119758673,0.268868101,0.611373227,,,0.295429558,0.12912276,0.575447683,,,0,,2,,0,1,0,,0,-1.31353435,0,1.31353435,,0,-2.046991699,0,2.046991699
0.302472456,0.298018436,0.399509108,,,0.755074042,0.10024118,0.144684778,,,-1,,3,,0,0,1,,0,0,-0.917518716,0.917518716,,0,0,-1.933197848,1.933197848
0.277007391,0.237833383,0.485159227,,,0.378410227,0.133502543,0.48808723,,,1,,1,,1,0,0,,-1.283711091,0,0,1.283711091,,-0.971776415,0,0,0.971776415
0.224148591,0.239973786,0.535877623,,,0.431882598,0.135229504,0.432887898,,,-1,,3,,0,0,1,,0,0,-0.623849459,0.623849459,,0,0,-0.837276481,0.837276481
0.691447848,0.178693142,0.129859011,,,0.695208905,0.107961658,0.196829437,,,1,,1,,1,0,0,,-0.368967549,0,0,0.368967549,,-0.363542896,0,0,0.363542896
0.296769208,0.331360443,0.371870349,,,0.325077149,0.142564946,0.532357906,,,1,,1,,1,0,0,,-1.21480052,0,0,1.21480052,,-1.123692743,0,0,1.123692743
0.099552353,0.183163383,0.717284264,,,0.441668648,0.140988691,0.417342661,,,1,,1,,1,0,0,,-2.307071612,0,0,2.307071612,,-0.817195343,0,0,0.817195343
0.787380227,0.137625308,0.074994465,,,0.975303594,0.015103927,0.009592479,,,1,,1,,1,0,0,,-0.239044013,0,0,0.239044013,,-0.025006478,0,0,0.025006478
0.86506316,0.104681669,0.030255171,,,0.97950083,0.012924531,0.00757464,,,1,,1,,1,0,0,,-0.144952757,0,0,0.144952757,,-0.020712194,0,0,0.020712194
0.632652698,0.215914292,0.15143301,,,0.713596775,0.104739451,0.181663775,,,0,,2,,0,1,0,,0,-1.532873746,0,1.532873746,,0,-2.256279432,0,2.256279432
0.590728099,0.157241894,0.252030007,,,0.403481742,0.140751335,0.455766923,,,1,,1,,1,0,0,,-0.526399437,0,0,0.526399437,,-0.907624041,0,0,0.907624041
