,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kelly,,,,,,,,,,,,,,,,
,home,away,home_goal,away_goal,home_shots,away_shots,home_possession,away_possession,outcome,win_prob,draw_prob,lose_prob,,,,,,,,,,win_prob,draw_prob,lose_prob,RPS,BS,,,,,,,,,,,,,,,,,,,,Win,Draw,Loose,,,,,,,,,,,,,,
220,Figueirense,Brasil de Pelotas,1,1,17,13,0.59,0.41,0,0.586728625,0.253977614,0.159293762,,0,0,0,,0.586728625,0.253977614,0.159293762,,0.586728625,0.253977614,0.159293762,,,,2,,1.98,3.15,4.62,,0.505050505,0.317460317,0.216450216,,1.038961039,,0.486111111,0.305555556,0.208333333,,,,0.378005708,0.017145111,0,,0,458.617505,0,"R$ 1,304.89",493.2547652,22.3724332,0,,,0.010123884,0.002660284,0.00240488,0.015189048
221,Coritiba,Oeste,0,2,22,7,0.59,0.41,-1,0.40527408,0.258350602,0.336375318,,0,0,0,,0.40527408,0.258350602,0.336375318,,0.40527408,0.258350602,0.336375318,,,,3,,2.17,3.05,3.97,,0.460829493,0.327868852,0.251889169,,1.040587514,,0.442855105,0.315080517,0.242064377,,,,0.131206836,0.015186865,0.169215448,,0,70.47316458,0,R$ 859.73,112.8028527,13.05664968,145.4801131,,,0.001412333,0.003218283,0.008894554,0.01352517
222,AtlÃ©tico GO,CRB,1,0,16,15,0.63,0.37,1,0.585097152,0.202189467,0.212713382,,0,0,0,,0.585097152,0.202189467,0.212713382,,0.585097152,0.202189467,0.212713382,,,,1,,1.76,3.36,5.79,,0.568181818,0.297619048,0.172711572,,1.038512437,,0.547111231,0.286582073,0.166306695,,,,0.349356897,0,0.076739873,,0,0,577.556049,"R$ 1,165.95",407.3324931,0,89.47481487,,,0.00144293,0.007122112,0.002153581,0.010718623
223,Ponte Preta,Guarani,0,0,15,9,0.58,0.42,0,0.450836923,0.269699548,0.279463529,,0,0,0,,0.450836923,0.269699548,0.279463529,,0.450836923,0.269699548,0.279463529,,,,2,,1.93,3.42,4.35,,0.518134715,0.292397661,0.229885057,,1.040417433,,0.498006568,0.281038794,0.220954638,,,,0.166296469,0.056161404,0.113822961,,716.9051878,0,0,"R$ 1,386.05",230.4947813,77.84236596,157.7640146,,,0.002224975,0.000128578,0.00342329,0.005776844
224,SÃ£o Bento,AvaÃ­,0,1,13,10,0.62,0.38,-1,0.277114111,0.271327528,0.451558361,,0,0,0,,0.277114111,0.271327528,0.451558361,,0.277114111,0.271327528,0.451558361,,,,3,,2.72,2.93,3.02,,0.367647059,0.341296928,0.331125828,,1.040069815,,0.353483058,0.328148095,0.318368847,,,,0.01134724,0.022633852,0.269955169,,0,266.2208916,0,"R$ 1,186.17",13.4597227,26.84752983,320.2119376,,,0.005832216,0.003228577,0.017739447,0.02680024
225,Vila Nova,GoiÃ¡s,3,0,11,7,0.4,0.6,1,0.52181832,0.277607784,0.200573896,,0,0,0,,0.52181832,0.277607784,0.200573896,,0.52181832,0.277607784,0.200573896,,,,1,,2.31,2.98,3.69,,0.432900433,0.33557047,0.27100271,,1.039473613,,0.416461205,0.32282731,0.260711486,,,,0.314813264,0.035194289,0,,0,0,967.0400514,"R$ 1,792.69",564.3619448,63.0923773,0,,,0.011100122,0.002044806,0.00361653,0.016761457
226,CSA,CriciÃºma,3,0,8,3,0.51,0.49,1,0.63000763,0.225649285,0.144343085,,0,0,0,,0.63000763,0.225649285,0.144343085,,0.63000763,0.225649285,0.144343085,,,,1,,1.91,3.2,4.2,,0.523560209,0.3125,0.238095238,,1.074155448,,0.487415681,0.290926235,0.221658084,,,,0.436294347,0,0,,1303.676092,0,0,"R$ 2,468.91",1077.171356,0,0,,,0.020332464,0.00426108,0.005977609,0.030571153
227,Paysandu,Sampaio CorrÃªa,0,1,15,12,0.52,0.48,-1,0.377723271,0.260906804,0.361369925,,0,0,0,,0.377723271,0.260906804,0.361369925,,0.377723271,0.260906804,0.361369925,,,,3,,2.42,2.99,3.42,,0.41322314,0.334448161,0.292397661,,1.040068962,,0.397303598,0.321563447,0.281132955,,,,0.120584127,0.013718444,0.174635985,,2057.397289,0,0,"R$ 3,449.14",415.9110111,47.3167748,602.3432023,,,0.000383389,0.003679228,0.006437971,0.010500589
228,Fortaleza,Londrina,2,1,23,6,0.6,0.4,1,0.610824656,0.245874865,0.143300479,,0,0,0,,0.610824656,0.245874865,0.143300479,,0.610824656,0.245874865,0.143300479,,,,1,,1.66,3.73,5.86,,0.602409639,0.268096515,0.170648464,,1.041154617,,0.578597673,0.257499232,0.163903095,,,,0.376381678,0.043696545,0,,0,0,2060.013752,"R$ 4,443.58",1672.4815,194.1690227,0,,,0.001038578,0.000135126,0.000424468,0.001598172
229,Juventude,Boa,0,0,10,9,0.55,0.45,0,0.602021683,0.263677508,0.134300809,,0,0,0,,0.602021683,0.263677508,0.134300809,,0.602021683,0.263677508,0.134300809,,,,2,,1.95,2.95,4.5,,0.512820513,0.338983051,0.222222222,,1.074025786,,0.477475047,0.315619099,0.206905854,,,,0.397930238,0.014076663,0,,2776.31929,0,0,"R$ 5,353.25",2130.218929,75.35585796,0,,,0.015511865,0.002697929,0.005271493,0.023481286
230,Brasil de Pelotas,Coritiba,0,1,10,7,0.65,0.35,-1,0.255238756,0.303441453,0.441319791,,0,0,0,,0.255238756,0.303441453,0.441319791,,0.255238756,0.303441453,0.441319791,,,,3,,2.33,3.14,3.43,,0.429184549,0.318471338,0.29154519,,1.039201076,,0.412994712,0.30645786,0.280547428,,,,0,0.081607521,0.278439264,,0,222.299781,0,"R$ 3,369.97",0,275.0150749,938.3325723,,,0.024886942,9.09871E-06,0.025847753,0.050743793
231,CriciÃºma,Guarani,0,0,15,14,0.47,0.53,0,0.309872227,0.256593386,0.433534386,,0,0,0,,0.309872227,0.256593386,0.433534386,,0.309872227,0.256593386,0.433534386,,,,2,,2.59,3.12,3,,0.386100386,0.320512821,0.333333333,,1.03994654,,0.371269456,0.308201247,0.320529297,,,,0.043413627,0.018322035,0.244712515,,0,0,3218.480723,"R$ 5,375.11",233.3528167,98.48286856,1315.355524,,,0.00376962,0.002663371,0.01277015,0.019203141
232,Oeste,SÃ£o Bento,0,1,15,13,0.66,0.34,-1,0.534320423,0.249878835,0.215800742,,0,0,0,,0.534320423,0.249878835,0.215800742,,0.534320423,0.249878835,0.215800742,,,,3,,1.89,3.19,5.06,,0.529100529,0.313479624,0.197628458,,1.040208611,,0.50864848,0.301362266,0.189989254,,,,0.287929112,0.014731134,0.060820651,,0,307.2665499,0,"R$ 4,035.18",1161.845968,59.44278759,245.4223128,,,0.000659049,0.002650544,0.000666233,0.003975825
233,Londrina,AtlÃ©tico GO,4,1,18,10,0.52,0.48,1,0.367369869,0.224757761,0.40787237,,0,0,0,,0.367369869,0.224757761,0.40787237,,0.367369869,0.224757761,0.40787237,,,,1,,2.4,3.14,3.29,,0.416666667,0.318471338,0.303951368,,1.039089372,,0.400992136,0.306490804,0.29251706,,,,0.103773981,0,0.227894367,,0,0,1241.836903,"R$ 3,810.31",395.4106675,0,868.3473721,,,0.001130457,0.00668029,0.013306848,0.021117595
